Make,Model,Drivetrain,Max Power,Max Torque,Length,Width,Height,Weight,Aspiration
Ford,1932 Roadster,FR,179 HP,308.2 ft-lb,147.0 in.,65.5 in.,56.0 in.,2458 lbs.,NA
AFEELA,1 '26,4WD,- HP,- ft-lb,193.5 in.,74.8 in.,57.5 in.,- lbs.,EV
AFEELA,Prototype 2024,4WD,- HP,- ft-lb,193.5 in.,74.8 in.,57.5 in.,- lbs.,EV
Abarth,1500 Biposto Bertone B.A.T 1 '52,FR,73 HP,73.7 ft-lb,178.0 in.,65.0 in.,54.3 in.,1918 lbs.,NA
Abarth,500 '09,FF,133 HP,133.0 ft-lb,144.0 in.,64.1 in.,58.5 in.,2282 lbs.,TC
Alfa Romeo,155 2.5 V6 TI '93,4WD,413 HP,216.9 ft-lb,180.2 in.,68.9 in.,54.3 in.,2227 lbs.,NA
Alfa Romeo,4C Gr.3,MR,528 HP,390.3 ft-lb,170.9 in.,76.8 in.,46.5 in.,2690 lbs.,TC
Alfa Romeo,4C Gr.3 Road Car,MR,443 HP,330.3 ft-lb,170.9 in.,76.8 in.,46.5 in.,2910 lbs.,TC
Alfa Romeo,4C Gr.4,MR,295 HP,262.9 ft-lb,157.1 in.,73.6 in.,45.6 in.,2249 lbs.,TC
Alfa Romeo,4C Launch Edition '14,MR,235 HP,258.2 ft-lb,157.1 in.,73.6 in.,46.7 in.,2094 lbs.,TC
Alfa Romeo,8C 2900B Touring Berlinetta '38,FR,179 HP,193.1 ft-lb,196.9 in.,66.9 in.,59.1 in.,2888 lbs.,SC
Alfa Romeo,8C Competizione '08,FR,442 HP,354.4 ft-lb,172.5 in.,74.6 in.,52.8 in.,3494 lbs.,NA
Alfa Romeo,GIULIA TZ2 carrozzata da ZAGATO '65,FR,168 HP,127.2 ft-lb,144.9 in.,63.0 in.,42.3 in.,1367 lbs.,NA
Alfa Romeo,Giulia GTAm '20,FR,532 HP,442.6 ft-lb,183.8 in.,75.7 in.,55.0 in.,3483 lbs.,TC
Alfa Romeo,Giulia Sprint GT Veloce '67,FR,104 HP,102.7 ft-lb,160.6 in.,62.2 in.,51.8 in.,2293 lbs.,NA
Alfa Romeo,MiTo 1.4 T Sport '09,FF,152 HP,148.2 ft-lb,160.2 in.,67.7 in.,58.1 in.,2524 lbs.,TC
Alpine,A110 1600S '72,RR,138 HP,114.2 ft-lb,151.6 in.,59.8 in.,44.5 in.,1576 lbs.,NA
Alpine,A110 Première Édition '17,MR,248 HP,236.1 ft-lb,164.6 in.,70.8 in.,49.3 in.,2432 lbs.,TC
Alpine,A220 Race Car '68,MR,319 HP,253.1 ft-lb,160.6 in.,68.5 in.,40.6 in.,1521 lbs.,NA
Alpine,Vision Gran Turismo,MR,443 HP,426.7 ft-lb,181.9 in.,82.7 in.,37.0 in.,1984 lbs.,NA
Alpine,Vision Gran Turismo 2017,RR,594 HP,409.3 ft-lb,208.0 in.,82.7 in.,37.0 in.,2050 lbs.,NA
Alpine,Vision Gran Turismo Race Mode,MR,443 HP,426.7 ft-lb,198.7 in.,82.7 in.,37.0 in.,1984 lbs.,NA
Amuse,NISMO 380RS Super Leggera,FR,380 HP,302.3 ft-lb,178.0 in.,72.6 in.,51.8 in.,3020 lbs.,NA
Amuse,S2000 GT1 Turbo,FR,616 HP,419.5 ft-lb,166.4 in.,72.0 in.,47.2 in.,2469 lbs.,TC
Aston Martin,DB11 '16,FR,599 HP,516.6 ft-lb,186.6 in.,81.1 in.,50.4 in.,3902 lbs.,TC
Aston Martin,DB3S '53,FR,224 HP,224.4 ft-lb,153.7 in.,63.8 in.,41.5 in.,1887 lbs.,NA
Aston Martin,DB5 '64,FR,281 HP,279.9 ft-lb,179.9 in.,66.0 in.,52.0 in.,3236 lbs.,NA
Aston Martin,DBR9 GT1 '10,FR,599 HP,490.8 ft-lb,184.5 in.,77.9 in.,47.0 in.,2425 lbs.,NA
Aston Martin,DP-100 Vision Gran Turismo,4WD,799 HP,774.9 ft-lb,180.2 in.,79.0 in.,43.8 in.,3031 lbs.,TC
Aston Martin,One-77 '11,FR,748 HP,553.5 ft-lb,181.1 in.,78.7 in.,48.1 in.,3593 lbs.,NA
Aston Martin,V12 Vantage GT3 '12,FR,591 HP,506.7 ft-lb,187.4 in.,77.9 in.,52.8 in.,2756 lbs.,NA
Aston Martin,V8 Vantage S '15,FR,429 HP,361.6 ft-lb,172.6 in.,79.6 in.,49.6 in.,3549 lbs.,NA
Aston Martin,Valkyrie '21,MR,1139 HP,680.3 ft-lb,177.4 in.,75.6 in.,41.7 in.,2800 lbs.,NA
Aston Martin,Vantage '18,FR,502 HP,505.5 ft-lb,175.8 in.,76.5 in.,50.1 in.,3373 lbs.,TC
Aston Martin,Vantage Gr.4,FR,399 HP,361.6 ft-lb,175.6 in.,74.7 in.,48.9 in.,2976 lbs.,NA
Aston Martin,Vulcan '16,FR,820 HP,590.4 ft-lb,189.3 in.,81.2 in.,47.4 in.,2998 lbs.,NA
Audi,R18 '16,4WD,506 HP,628.4 ft-lb,183.1 in.,74.8 in.,41.3 in.,1929 lbs.,TC
Audi,R18 TDI '11,MR,532 HP,664.2 ft-lb,183.1 in.,78.7 in.,43.3 in.,1984 lbs.,TC
Audi,R8 4.2 FSI R tronic '07,4WD,414 HP,317.3 ft-lb,174.4 in.,75.0 in.,49.2 in.,3439 lbs.,NA
Audi,R8 Coupé V10 plus '16,4WD,601 HP,412.9 ft-lb,174.2 in.,76.4 in.,48.8 in.,3205 lbs.,NA
Audi,R8 LMS '15,MR,585 HP,423.8 ft-lb,180.4 in.,78.6 in.,46.1 in.,2701 lbs.,NA
Audi,R8 LMS Evo '19,MR,576 HP,423.8 ft-lb,180.0 in.,78.6 in.,46.1 in.,2723 lbs.,NA
