Track,Layout,Country,Track Length,Elevation Difference,Number of Corners,Longest Straight
24 Heures du Mans Racing Circuit,,France,8.47 miles,0.02 miles,38,1.04 miles
24 Heures du Mans Racing Circuit,No Chicane,France,8.43 miles,0.02 miles,32,3.54 miles
Alsace,Test Course,France,1.32 miles,0.02 miles,7,0.27 miles
Alsace,Test Course Reverse,France,1.32 miles,0.02 miles,7,0.27 miles
Alsace,Village,France,3.37 miles,0.04 miles,17,0.28 miles
Alsace,Village Reverse,France,3.37 miles,0.04 miles,17,0.28 miles
Autodrome Lago Maggiore,Centre,Italy,1.06 miles,0.01 miles,8,0.34 miles
Autodrome Lago Maggiore,Centre Reverse,Italy,1.06 miles,0.01 miles,8,0.34 miles
Autodrome Lago Maggiore,East,Italy,2.26 miles,0.03 miles,11,0.34 miles
Autodrome Lago Maggiore,East End,Italy,1.25 miles,0.03 miles,8,0.31 miles
Autodrome Lago Maggiore,East End Reverse,Italy,1.25 miles,0.03 miles,8,0.31 miles
Autodrome Lago Maggiore,East Reverse,Italy,2.26 miles,0.03 miles,11,0.34 miles
Autodrome Lago Maggiore,Full Course,Italy,3.61 miles,0.05 miles,17,0.50 miles
Autodrome Lago Maggiore,Full Course Reverse,Italy,3.61 miles,0.05 miles,17,0.50 miles
Autodrome Lago Maggiore,West,Italy,2.59 miles,0.03 miles,13,0.50 miles
Autodrome Lago Maggiore,West End,Italy,1.52 miles,0.03 miles,10,0.23 miles
Autodrome Lago Maggiore,West End Reverse,Italy,1.52 miles,0.03 miles,10,0.23 miles
Autodrome Lago Maggiore,West Reverse,Italy,2.59 miles,0.03 miles,13,0.50 miles
Autodromo Nazionale Monza,,Italy,3.60 miles,0.01 miles,11,0.58 miles
Autodromo Nazionale Monza,No Chicane,Italy,3.58 miles,0.01 miles,9,0.77 miles
Autódromo de Interlagos,,Brazil,2.68 miles,0.03 miles,15,0.40 miles
Autopolis International Racing Course,,Japan,2.90 miles,0.03 miles,18,0.56 miles
Autopolis International Racing Course,Short Course,Japan,1.88 miles,0.02 miles,11,0.56 miles
Blue Moon Bay Speedway,,United States,1.99 miles,0 miles,3,0.66 miles
Blue Moon Bay Speedway,Infield A,United States,2.08 miles,0 miles,10,0.55 miles
Blue Moon Bay Speedway,Infield A Reverse,United States,2.08 miles,0 miles,10,0.55 miles
Blue Moon Bay Speedway,Infield B,United States,1.78 miles,0 miles,5,0.55 miles
Blue Moon Bay Speedway,Infield B Reverse,United States,1.78 miles,0 miles,5,0.55 miles
Blue Moon Bay Speedway,Reverse,United States,1.99 miles,0 miles,3,0.66 miles
Brands Hatch Grand Prix Circuit,,United Kingdom,2.45 miles,0.02 miles,9,0.30 miles
Brands Hatch Indy Circuit,,United Kingdom,1.21 miles,0.02 miles,5,0.25 miles
BB Raceway,,Japan,1.04 miles,0 miles,5,0.24 miles
BB Raceway Reverse,,Japan,1.04 miles,0 miles,5,0.24 miles
Circuit Gilles-Villeneuve,,Canada,2.71 miles,0 miles,14,0.73 miles
Circuit de Barcelona-Catalunya,GP Layout,Spain,2.89 miles,0.02 miles,16,0.65 miles
Circuit de Barcelona-Catalunya,GP Layout No Chicane,Spain,2.94 miles,0.02 miles,14,0.65 miles
Circuit de Barcelona-Catalunya,National Layout,Spain,1.85 miles,0.02 miles,11,0.54 miles
Circuit de Barcelona-Catalunya,Rallycross Layout,Spain,0.70 miles,0.01 miles,11,0.09 miles
Circuit de Sainte-Croix,A,France,5.89 miles,0.03 miles,19,0.57 miles
Circuit de Sainte-Croix,A Reverse,France,5.89 miles,0.03 miles,19,0.57 miles
Circuit de Sainte-Croix,B,France,4.39 miles,0.03 miles,14,0.57 miles
Circuit de Sainte-Croix,B Reverse,France,4.39 miles,0.03 miles,14,0.57 miles
Circuit de Sainte-Croix,C,France,6.73 miles,0.03 miles,24,1.12 miles
Circuit de Sainte-Croix,C Reverse,France,6.73 miles,0.03 miles,24,1.12 miles
Circuit de Spa-Francorchamps,,Belgium,4.35 miles,0.07 miles,21,0.47 miles
Spa 24h Layout,,Belgium,4.35 miles,0.07 miles,21,0.47 miles
Colorado Springs,Lake,United States,1.86 miles,0.01 miles,15,0.11 miles
Colorado Springs,Lake Reverse,United States,1.86 miles,0.01 miles,15,0.11 miles
Daytona Road Course,,United States,3.56 miles,0.01 miles,12,0.36 miles
Daytona Tri-Oval,,United States,2.50 miles,0.01 miles,4,0.57 miles
Deep Forest Raceway,,Switzerland,2.64 miles,0.03 miles,18,0.48 miles
Deep Forest Raceway,Reverse,Switzerland,2.64 miles,0.03 miles,18,0.48 miles
Dragon Trail,Gardens,Croatia,2.70 miles,0.02 miles,17,0.49 miles
Dragon Trail,Gardens Reverse,Croatia,2.70 miles,0.02 miles,17,0.49 miles
Dragon Trail,Seaside,Croatia,3.24 miles,0.02 miles,18,0.41 miles
Dragon Trail,Seaside Reverse,Croatia,3.24 miles,0.02 miles,18,0.41 miles
Eiger Nordwand,,Switzerland,1.51 miles,0.06 miles,11,0.16 miles
Eiger Nordwand,Reverse,Switzerland,1.51 miles,0.06 miles,11,0.16 miles
Fishermans Ranch,,United States,4.28 miles,0.09 miles,40,0.27 miles
Fishermans Ranch,Reverse,United States,4.28 miles,0.09 miles,40,0.27 miles
Fuji International Speedway,,Japan,2.84 miles,0.03 miles,16,0.92 miles
Fuji International Speedway,(Short),Japan,2.81 miles,0.03 miles,14,0.92 miles
Goodwood Motor Circuit,,United Kingdom,2.37 miles,0.01 miles,7,0.32 miles
Grand Valley,Highway 1,United States,3.17 miles,0.06 miles,18,0.62 miles
Grand Valley,Highway 1 Reverse,United States,3.17 miles,0.06 miles,18,0.62 miles
Grand Valley,South,United States,1.91 miles,0.05 miles,10,0.62 miles
Grand Valley,South Reverse,United States,1.91 miles,0.05 miles,10,0.62 miles
High Speed Ring,,Japan,2.70 miles,0.01 miles,6,0.66 miles
High Speed Ring,Reverse,Japan,2.70 miles,0.01 miles,6,0.66 miles
Kyoto Driving Park,Miyabi,Japan,1.21 miles,0.01 miles,7,0.28 miles
